client_ip,server_ip,authentication_errors,created_at,user_acct,conn_port,l4_protocol,data_len,asset_tag
203.124.152.139,10.50.1.32,0,2026-08-10T12:10:09.108224,mgarcia,22,tcp,2423,host-7182
114.212.60.136,10.50.1.72,1,2026-08-08T08:28:49.570315,user1435,22,tcp,272,host-1473
114.212.60.136,10.50.3.237,1,2026-08-08T08:30:13.666536,user9168,22,tcp,287,host-5361
90.250.217.11,10.50.0.40,0,2026-08-08T17:45:10.381294,mgarcia,80,tcp,1248,host-1426
142.85.34.84,10.50.1.211,0,2026-08-11T16:57:00.721133,amartin,22,tcp,930,host-1500
45.135.167.253,10.50.2.79,0,2026-08-08T11:26:31.000393,k.oconnor,80,tcp,1641,host-2006
202.139.1.51,10.50.0.192,0,2026-08-09T16:39:03.747302,l.nguyen,443,tcp,1153,host-7805
81.176.194.176,10.50.5.114,0,2026-08-11T17:10:15.386172,jsmith,443,tcp,2619,host-6619
81.198.206.255,10.50.4.55,0,2026-08-08T13:43:08.450473,k.oconnor,80,tcp,1982,host-3378
103.153.242.254,10.50.5.60,1,2026-08-13T10:08:10.779803,rpatel,3389,tcp,992,host-9676
80.164.42.227,10.50.4.213,0,2026-08-12T13:42:19.733556,wchen,3389,tcp,1365,host-6633
90.42.239.243,10.50.1.43,0,2026-08-13T10:34:06.935281,dsingh,22,tcp,3846,host-6067
117.102.139.142,10.50.1.123,0,2026-08-12T16:39:32.755814,n.dubois,443,tcp,413,host-7762
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:58.824655,,15360,udp,57,host-7925
203.187.79.206,10.50.4.127,0,2026-08-12T08:09:48.512981,jsmith,3389,tcp,3130,host-5995
91.66.13.164,10.50.0.175,1,2026-08-08T00:31:28.658154,l.nguyen,22,tcp,84,host-8379
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:52.161364,,15307,tcp,10,host-2288
203.56.110.111,10.50.1.90,0,2026-08-08T13:20:34.003070,priya.n,443,tcp,3934,host-8579
142.53.70.117,10.50.1.220,1,2026-08-10T12:19:04.418419,t.muller,3389,tcp,1402,host-5360
126.202.198.190,10.50.4.55,0,2026-08-08T12:21:15.070513,jsmith,80,tcp,2810,host-4023
91.66.13.164,10.50.2.226,1,2026-08-08T00:33:10.109084,l.nguyen,22,tcp,195,host-5873
80.71.119.207,10.50.5.152,0,2026-08-14T10:14:58.564920,e.rossi,22,tcp,1310,host-8510
91.66.13.164,10.50.2.198,1,2026-08-08T00:35:16.049977,l.nguyen,22,tcp,234,host-9966
133.152.30.225,10.50.1.236,0,2026-08-12T13:01:10.569742,dsingh,22,tcp,2005,host-1896
80.252.83.159,10.50.2.187,0,2026-08-12T18:47:33.109795,n.dubois,3389,tcp,2869,host-4539
121.149.131.127,10.50.3.134,1,2026-08-08T05:54:15.555523,user9956,22,tcp,246,host-7550
80.151.162.60,10.50.2.10,0,2026-08-08T14:18:13.443246,k.oconnor,22,tcp,3730,host-5608
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:56.330593,,15343,udp,42,host-6565
80.104.145.229,10.50.3.128,0,2026-08-09T08:53:48.499338,amartin,3389,tcp,2859,host-9012
23.169.147.29,10.50.5.113,0,2026-08-14T11:39:49.302331,rpatel,80,tcp,3086,host-8292
90.20.73.183,10.50.2.227,0,2026-08-11T15:06:07.401794,n.dubois,80,tcp,3892,host-5767
91.66.13.164,10.50.4.64,1,2026-08-08T00:33:17.247863,l.nguyen,22,tcp,247,host-8247
3.85.181.149,10.50.1.165,0,2026-08-11T11:41:41.728611,l.nguyen,3389,tcp,2429,host-6223
103.172.249.28,10.50.0.142,0,2026-08-11T18:30:33.422998,l.nguyen,80,tcp,2557,host-7361
23.221.110.199,10.50.2.92,0,2026-08-13T18:26:43.889430,jsmith,80,tcp,565,host-4550
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:39.466446,,43067,udp,26,host-4011
203.234.217.33,10.50.2.193,0,2026-08-13T11:55:03.125365,mgarcia,22,tcp,954,host-7767
114.212.60.136,10.50.2.97,1,2026-08-08T08:27:27.745159,user6111,22,tcp,297,host-6581
81.7.60.187,10.50.0.164,0,2026-08-10T15:59:07.037440,wchen,80,tcp,2214,host-8084
80.245.34.160,10.50.3.211,0,2026-08-11T14:05:11.505562,mgarcia,443,tcp,1361,host-7437
90.220.49.105,10.50.4.125,0,2026-08-14T12:44:32.322859,k.oconnor,443,tcp,3647,host-2240
90.149.235.5,10.50.4.245,0,2026-08-09T13:44:12.344533,t.muller,3389,tcp,3843,host-4565
126.145.21.126,10.50.5.201,0,2026-08-10T10:00:33.220424,t.muller,22,tcp,417,host-7101
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:38.624748,,43105,udp,48,host-9107
23.79.27.50,10.50.5.12,0,2026-08-08T14:53:32.895685,t.muller,80,tcp,541,host-3597
142.227.195.167,10.50.2.31,0,2026-08-08T10:34:10.724483,jsmith,22,tcp,3872,host-8043
41.166.4.197,10.50.3.17,0,2026-08-09T00:46:03.349061,n.dubois,443,tcp,114038,host-7009
91.66.13.164,10.50.0.104,1,2026-08-08T00:31:33.337008,l.nguyen,22,tcp,168,host-2626
90.48.120.242,10.50.5.244,0,2026-08-11T13:13:46.995221,amartin,80,tcp,320,host-7456
103.121.92.197,10.50.1.105,0,2026-08-12T09:29:32.993604,t.muller,80,tcp,2611,host-1993
202.122.183.168,10.50.4.102,0,2026-08-10T13:34:09.500441,mgarcia,80,tcp,3078,host-7574
91.66.13.164,10.50.5.254,1,2026-08-08T00:33:18.885226,l.nguyen,22,tcp,270,host-3676
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:55.364851,,15321,tcp,21,host-8169
103.24.63.134,10.50.0.202,0,2026-08-09T12:39:38.574222,wchen,3389,tcp,1503,host-8455
126.238.132.3,10.50.2.108,0,2026-08-14T15:08:31.109616,amartin,22,tcp,3470,host-2560
23.73.25.241,10.50.0.31,0,2026-08-13T12:26:52.768840,amartin,80,tcp,3686,host-9289
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:36.860093,,43080,tcp,6,host-8607
202.54.136.226,10.50.2.249,1,2026-08-11T10:21:22.660050,priya.n,443,tcp,1191,host-1564
114.212.60.136,10.50.5.243,1,2026-08-08T08:30:44.669631,user7055,22,tcp,266,host-9090
3.222.113.170,10.50.3.152,0,2026-08-09T10:32:54.417696,l.nguyen,443,tcp,1639,host-6149
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:37.367261,,43117,tcp,12,host-2507
178.254.230.199,10.50.2.33,1,2026-08-08T02:21:42.469574,l.nguyen,22,tcp,170,host-3455
90.136.74.71,10.50.0.126,0,2026-08-09T17:15:57.873010,mgarcia,22,tcp,2879,host-9502
202.243.107.27,10.50.3.87,0,2026-08-11T12:06:07.157864,rpatel,80,tcp,2169,host-7236
90.148.129.155,10.50.4.97,0,2026-08-10T14:53:52.014074,dsingh,3389,tcp,3382,host-4296
36.202.131.36,10.50.1.23,0,2026-08-08T22:34:05.362093,jsmith,443,tcp,62428,host-8085
178.254.230.199,10.50.3.169,1,2026-08-08T02:20:45.635963,l.nguyen,22,tcp,238,host-3178
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:54.876247,,15339,tcp,33,host-3340
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:51.071406,,15316,udp,21,host-4943
90.46.220.189,10.50.4.42,0,2026-08-14T10:15:56.807765,e.rossi,22,tcp,2920,host-8037
117.57.6.81,10.50.5.125,0,2026-08-13T17:08:36.649763,n.dubois,443,tcp,2670,host-8300
142.250.80.237,10.50.0.202,0,2026-08-10T10:52:30.584878,e.rossi,443,tcp,1742,host-3183
142.71.17.245,10.50.3.29,0,2026-08-14T14:43:06.895530,dsingh,80,tcp,3576,host-2401
203.198.29.234,10.50.5.102,0,2026-08-12T10:22:27.265666,t.muller,443,tcp,795,host-5552
81.79.159.54,10.50.1.116,0,2026-08-10T08:50:58.661931,jsmith,22,tcp,3875,host-6765
133.0.88.226,10.50.1.233,0,2026-08-10T18:27:17.822983,dsingh,3389,tcp,1114,host-7280
117.158.26.183,10.50.3.199,0,2026-08-12T17:51:08.088214,wchen,443,tcp,3676,host-2192
81.50.15.150,10.50.0.131,0,2026-08-11T17:52:22.140878,k.oconnor,3389,tcp,2077,host-1853
104.223.223.89,10.50.1.29,0,2026-08-08T12:56:17.999831,mgarcia,80,tcp,2307,host-6047
202.89.89.68,10.50.5.139,0,2026-08-14T13:49:17.406698,l.nguyen,443,tcp,371,host-6690
90.129.42.108,10.50.4.167,0,2026-08-11T08:13:41.196757,mgarcia,22,tcp,2575,host-3026
117.138.255.183,10.50.4.10,0,2026-08-12T17:25:00.875646,jsmith,443,tcp,1832,host-7617
202.159.87.208,10.50.3.23,0,2026-08-08T17:06:34.273975,dsingh,80,tcp,352,host-5753
202.172.144.207,10.50.5.39,0,2026-08-12T09:56:49.008041,amartin,22,tcp,3746,host-4918
133.104.191.164,10.50.1.179,0,2026-08-09T16:19:25.300658,rpatel,443,tcp,3557,host-3274
203.239.113.9,10.50.3.134,0,2026-08-11T16:26:57.549354,wchen,443,tcp,2615,host-6600
90.130.36.122,10.50.3.20,0,2026-08-13T08:15:57.108082,mgarcia,443,tcp,2214,host-9655
91.66.13.164,10.50.5.168,1,2026-08-08T00:35:49.137931,l.nguyen,22,tcp,263,host-7222
64.249.111.155,10.50.3.119,0,2026-08-08T18:35:42.701884,rpatel,22,tcp,1166,host-8972
81.89.84.95,10.50.0.220,0,2026-08-08T12:41:52.436248,k.oconnor,443,tcp,3261,host-2228
103.130.145.77,10.50.3.6,0,2026-08-14T08:16:51.860132,dsingh,3389,tcp,2647,host-8559
203.104.25.238,10.50.3.9,0,2026-08-10T15:34:11.452200,amartin,443,tcp,3478,host-5394
114.212.60.136,10.50.1.174,1,2026-08-08T08:27:39.397789,user5506,22,tcp,166,host-3198
142.13.124.73,10.50.5.88,0,2026-08-10T11:56:48.567353,wchen,3389,tcp,2482,host-7107
121.149.131.127,10.50.4.162,1,2026-08-08T05:54:42.415287,user1875,22,tcp,88,host-3602
80.135.129.48,10.50.1.68,0,2026-08-11T08:38:18.380669,dsingh,443,tcp,2308,host-3692
203.157.149.45,10.50.0.134,0,2026-08-11T14:39:08.836240,l.nguyen,22,tcp,1404,host-6613
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:42.446213,,43118,udp,50,host-4128
133.33.2.114,10.50.0.79,0,2026-08-08T09:09:58.587728,k.oconnor,22,tcp,1829,host-5862
80.101.25.156,10.50.2.104,0,2026-08-12T15:52:08.007977,wchen,3389,tcp,1627,host-2904
80.28.133.252,10.50.3.45,0,2026-08-14T13:18:18.345906,dsingh,80,tcp,1727,host-6453
80.140.174.152,10.50.0.186,0,2026-08-12T11:40:44.901563,l.nguyen,80,tcp,3571,host-8420
90.247.202.179,10.50.4.18,0,2026-08-09T11:33:51.997163,priya.n,3389,tcp,3264,host-6228
80.201.19.204,10.50.1.232,0,2026-08-11T10:01:12.972731,e.rossi,443,tcp,2361,host-4904
91.66.13.164,10.50.2.53,1,2026-08-08T00:33:27.669837,l.nguyen,22,tcp,95,host-7182
121.149.131.127,10.50.3.3,1,2026-08-08T05:54:50.917835,user1573,22,tcp,137,host-6397
3.193.6.183,10.50.1.204,0,2026-08-14T18:08:06.397842,k.oconnor,443,tcp,2641,host-3620
81.203.118.154,10.50.0.227,0,2026-08-12T13:49:52.014123,t.muller,3389,tcp,1738,host-5518
90.172.207.129,10.50.1.209,0,2026-08-10T14:15:50.554817,amartin,22,tcp,2000,host-5941
114.212.60.136,10.50.5.106,1,2026-08-08T08:30:24.001523,user1488,22,tcp,296,host-1204
80.205.207.114,10.50.2.114,0,2026-08-12T14:23:03.490691,n.dubois,443,tcp,2409,host-3281
133.64.61.57,10.50.2.248,0,2026-08-09T09:13:59.004620,n.dubois,3389,tcp,3147,host-5317
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:51.851077,,15342,udp,47,host-7860
91.66.13.164,10.50.0.18,1,2026-08-08T00:31:13.189326,l.nguyen,22,tcp,238,host-8013
64.12.240.71,10.50.0.102,0,2026-08-11T11:36:12.183468,dsingh,22,tcp,365,host-9865
114.212.60.136,10.50.0.66,1,2026-08-08T08:30:16.977375,user6721,22,tcp,109,host-8992
23.223.231.207,10.50.1.154,0,2026-08-08T09:59:45.146508,mgarcia,443,tcp,1109,host-2985
90.15.84.10,10.50.1.127,0,2026-08-14T16:00:26.186579,wchen,80,tcp,2071,host-2961
80.147.165.167,10.50.4.25,0,2026-08-09T14:04:08.853135,k.oconnor,3389,tcp,545,host-9418
133.39.251.16,10.50.3.192,0,2026-08-09T15:06:45.989326,n.dubois,3389,tcp,758,host-5380
114.212.60.136,10.50.3.56,1,2026-08-08T08:28:33.102308,user4795,22,tcp,260,host-4522
81.123.33.15,10.50.5.127,0,2026-08-14T12:25:42.494155,k.oconnor,3389,tcp,2440,host-2277
80.68.30.111,10.50.5.21,0,2026-08-08T11:44:35.524262,wchen,443,tcp,2831,host-2539
3.208.36.250,10.50.1.204,0,2026-08-12T18:57:27.716391,dsingh,443,tcp,3735,host-9143
103.122.120.193,10.50.0.78,0,2026-08-08T14:57:49.715992,rpatel,80,tcp,1214,host-3498
117.228.214.140,10.50.4.28,0,2026-08-14T15:06:08.557101,e.rossi,22,tcp,3485,host-1847
126.244.183.123,10.50.4.181,0,2026-08-09T12:43:34.992631,n.dubois,443,tcp,1362,host-5066
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:34.351355,,43075,tcp,15,host-1334
23.214.131.84,10.50.2.200,0,2026-08-14T10:34:31.492847,jsmith,80,tcp,1324,host-6124
114.212.60.136,10.50.3.247,1,2026-08-08T08:31:00.788003,user7864,22,tcp,143,host-4770
91.66.13.164,10.50.3.34,1,2026-08-08T00:34:06.188981,l.nguyen,22,tcp,242,host-3647
121.149.131.127,10.50.0.65,1,2026-08-08T05:54:29.381745,user6554,22,tcp,204,host-3589
80.226.60.125,10.50.2.226,0,2026-08-14T14:22:28.288836,t.muller,3389,tcp,2179,host-5988
178.254.230.199,10.50.3.244,1,2026-08-08T02:23:16.928752,l.nguyen,22,tcp,213,host-3355
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:55.032632,,15310,tcp,17,host-8395
142.27.26.195,10.50.2.81,0,2026-08-10T10:04:57.297373,wchen,80,tcp,1797,host-2862
178.254.230.199,10.50.2.192,1,2026-08-08T02:20:51.963068,l.nguyen,22,tcp,295,host-5631
91.66.13.164,10.50.2.71,1,2026-08-08T00:31:46.835405,l.nguyen,22,tcp,226,host-8232
203.42.63.63,10.50.2.218,0,2026-08-13T14:24:18.626632,amartin,80,tcp,299,host-8519
117.245.146.57,10.50.4.10,0,2026-08-12T13:51:43.623133,wchen,3389,tcp,325,host-6185
91.66.13.164,10.50.5.254,1,2026-08-08T00:30:28.125257,l.nguyen,22,tcp,174,host-5126
117.38.244.248,10.50.2.120,0,2026-08-09T11:03:04.789308,e.rossi,3389,tcp,3230,host-2392
80.16.104.178,10.50.3.77,0,2026-08-13T16:42:44.012921,wchen,3389,tcp,855,host-8749
103.128.44.67,10.50.0.241,0,2026-08-10T14:28:46.450958,k.oconnor,443,tcp,2249,host-9052
202.182.96.191,10.50.3.212,0,2026-08-08T12:25:24.816778,wchen,3389,tcp,3135,host-9554
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:29.138639,,43098,tcp,41,host-6920
81.38.94.179,10.50.3.173,0,2026-08-09T17:59:36.766667,jsmith,80,tcp,423,host-3953
41.166.4.197,10.50.3.17,0,2026-08-09T01:32:19.170354,e.rossi,443,tcp,169751,host-5662
91.66.13.164,10.50.1.197,1,2026-08-08T00:30:27.111679,l.nguyen,22,tcp,111,host-3092
80.62.207.66,10.50.5.146,0,2026-08-11T13:28:09.141164,wchen,3389,tcp,1569,host-7464
121.149.131.127,10.50.1.173,1,2026-08-08T05:53:28.664943,user8220,22,tcp,119,host-5057
91.66.13.164,10.50.4.151,1,2026-08-08T00:34:54.518319,l.nguyen,22,tcp,150,host-5913
178.254.230.199,10.50.0.225,1,2026-08-08T02:20:50.002919,l.nguyen,22,tcp,101,host-5663
178.254.230.199,10.50.5.226,1,2026-08-08T02:20:59.314617,l.nguyen,22,tcp,221,host-4106
121.149.131.127,10.50.5.54,1,2026-08-08T05:55:39.090407,user6899,22,tcp,180,host-9422
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:38.477759,,43121,udp,1,host-6310
81.253.126.206,10.50.2.46,0,2026-08-08T18:38:11.451868,l.nguyen,443,tcp,584,host-5520
3.20.255.149,10.50.1.87,0,2026-08-09T15:04:30.712801,amartin,22,tcp,243,host-7341
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:50.166807,,15348,tcp,58,host-4131
104.195.204.125,10.50.2.172,0,2026-08-14T13:05:02.284542,dsingh,3389,tcp,3893,host-9009
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:27.070402,,43076,udp,51,host-6237
133.26.161.197,10.50.4.147,0,2026-08-10T17:59:52.317084,amartin,443,tcp,1567,host-3205
121.149.131.127,10.50.3.235,1,2026-08-08T05:54:17.160116,user9956,22,tcp,299,host-5636
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:50.264468,,43129,tcp,55,host-3565
126.6.152.39,10.50.4.101,0,2026-08-09T16:52:47.145401,wchen,80,tcp,3534,host-1446
203.215.6.87,10.50.5.95,0,2026-08-14T16:07:56.735655,n.dubois,3389,tcp,1839,host-8469
80.141.207.123,10.50.4.101,0,2026-08-13T09:49:18.209808,mgarcia,443,tcp,3164,host-1897
178.254.230.199,10.50.4.215,1,2026-08-08T02:21:08.920457,l.nguyen,22,tcp,125,host-3483
91.66.13.164,10.50.2.32,1,2026-08-08T00:32:38.742577,l.nguyen,22,tcp,82,host-6704
90.217.196.128,10.50.1.188,0,2026-08-12T12:38:20.127909,e.rossi,3389,tcp,3250,host-7678
80.174.187.127,10.50.4.101,0,2026-08-09T10:45:11.619067,t.muller,443,tcp,827,host-1041
104.239.160.137,10.50.4.196,0,2026-08-12T16:00:04.470080,wchen,443,tcp,3734,host-9358
178.254.230.199,10.50.1.13,1,2026-08-08T02:22:40.268249,l.nguyen,22,tcp,287,host-6085
41.166.4.197,10.50.3.17,0,2026-08-09T01:11:33.770117,amartin,443,tcp,137627,host-8417
91.66.13.164,10.50.0.94,1,2026-08-08T00:33:36.305242,l.nguyen,22,tcp,204,host-2820
114.212.60.136,10.50.4.131,1,2026-08-08T08:28:28.919620,user1572,22,tcp,150,host-5584
81.169.172.69,10.50.3.125,0,2026-08-11T15:48:36.861052,mgarcia,80,tcp,2361,host-7792
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:37.624833,,43134,tcp,7,host-6826
80.113.73.17,10.50.1.24,0,2026-08-14T09:00:14.452999,priya.n,3389,tcp,2758,host-8601
81.90.235.246,10.50.0.50,0,2026-08-09T09:29:27.520746,jsmith,443,tcp,1130,host-1170
117.99.114.174,10.50.2.27,0,2026-08-11T18:41:05.457002,mgarcia,22,tcp,1460,host-1558
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:37.234975,,43078,tcp,12,host-4838
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:51.704444,,15351,udp,21,host-2280
114.212.60.136,10.50.0.227,1,2026-08-08T08:30:51.653196,user1847,22,tcp,145,host-4447
117.109.33.160,10.50.2.107,0,2026-08-10T14:10:27.099789,e.rossi,443,tcp,2764,host-3331
23.32.31.51,10.50.3.7,0,2026-08-14T13:12:15.107184,amartin,80,tcp,3750,host-3700
178.254.230.199,10.50.4.99,1,2026-08-08T02:20:23.973060,l.nguyen,22,tcp,197,host-7606
114.212.60.136,10.50.2.250,1,2026-08-08T08:27:46.271349,user4057,22,tcp,205,host-3498
90.254.248.56,10.50.0.51,0,2026-08-13T10:36:12.889014,rpatel,80,tcp,3151,host-1353
202.65.117.214,10.50.2.39,0,2026-08-09T14:15:59.955651,dsingh,443,tcp,3783,host-8403
80.7.46.69,10.50.1.122,1,2026-08-11T16:46:43.008017,mgarcia,80,tcp,2600,host-5881
81.61.56.213,10.50.5.207,0,2026-08-11T10:07:48.384568,n.dubois,3389,tcp,3565,host-6929
80.249.36.33,10.50.3.39,0,2026-08-14T14:17:10.792186,amartin,3389,tcp,2838,host-5699
203.215.6.186,10.50.0.105,0,2026-08-08T10:16:37.683402,priya.n,22,tcp,846,host-3007
178.254.230.199,10.50.2.20,1,2026-08-08T02:20:32.157063,l.nguyen,22,tcp,257,host-2366
178.254.230.199,10.50.5.161,1,2026-08-08T02:23:45.489853,l.nguyen,22,tcp,107,host-5102
117.81.70.9,10.50.4.250,0,2026-08-14T12:15:01.148878,e.rossi,3389,tcp,3308,host-7861
91.66.13.164,10.50.3.189,1,2026-08-08T00:33:01.541191,l.nguyen,22,tcp,103,host-2121
114.212.60.136,10.50.2.38,1,2026-08-08T08:29:44.896560,user3044,22,tcp,286,host-5850
23.153.85.196,10.50.3.225,0,2026-08-09T08:40:51.253676,wchen,443,tcp,3011,host-5970
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:48.560194,,15309,udp,34,host-6717
104.247.235.29,10.50.2.47,0,2026-08-10T08:56:51.268712,wchen,443,tcp,3682,host-7726
142.0.130.44,10.50.5.109,0,2026-08-12T12:20:56.673715,amartin,22,tcp,3136,host-1428
203.124.161.216,10.50.3.128,0,2026-08-14T16:10:58.877613,k.oconnor,3389,tcp,955,host-3125
64.126.175.188,10.50.1.131,0,2026-08-10T16:50:17.113412,n.dubois,3389,tcp,2297,host-6836
23.69.217.53,10.50.1.39,0,2026-08-09T18:06:27.857230,amartin,22,tcp,2995,host-6643
80.0.238.19,10.50.3.104,0,2026-08-10T13:47:34.207068,wchen,80,tcp,2473,host-5885
117.175.36.252,10.50.0.123,0,2026-08-10T11:29:15.503187,priya.n,443,tcp,2991,host-4048
80.226.179.252,10.50.5.59,0,2026-08-08T10:52:17.009153,e.rossi,22,tcp,1662,host-2914
202.230.219.185,10.50.0.214,0,2026-08-08T09:50:07.804351,priya.n,3389,tcp,1122,host-7473
104.232.226.161,10.50.5.240,0,2026-08-11T13:01:25.610117,amartin,80,tcp,2447,host-6967
91.66.13.164,10.50.2.244,1,2026-08-08T00:32:12.921721,l.nguyen,22,tcp,297,host-1261
121.149.131.127,10.50.1.84,1,2026-08-08T05:53:36.980354,user1828,22,tcp,114,host-3271
114.239.49.189,10.50.0.168,0,2026-08-08T12:03:01.356533,,15359,udp,3,host-3234
45.149.185.235,10.50.1.245,0,2026-08-11T18:48:08.356683,amartin,22,tcp,1206,host-2616
80.67.121.239,10.50.0.114,0,2026-08-11T10:09:34.044055,k.oconnor,80,tcp,2753,host-1541
117.127.104.159,10.50.3.158,0,2026-08-14T11:16:13.446361,l.nguyen,443,tcp,1405,host-6837
80.140.25.111,10.50.3.45,0,2026-08-13T11:44:44.848509,n.dubois,3389,tcp,3982,host-4013
202.37.59.122,10.50.3.213,0,2026-08-13T17:19:44.435213,priya.n,22,tcp,1383,host-6137
91.66.13.164,10.50.0.156,1,2026-08-08T00:30:47.506872,l.nguyen,22,tcp,262,host-8541
91.66.13.164,10.50.1.144,1,2026-08-08T00:33:13.920806,l.nguyen,22,tcp,207,host-5075
41.105.218.211,10.50.2.84,0,2026-08-08T13:29:28.933016,,43111,tcp,55,host-1675
91.66.13.164,10.50.0.245,1,2026-08-08T00:33:11.064528,l.nguyen,22,tcp,286,host-2718
91.66.13.164,10.50.2.250,1,2026-08-08T00:31:23.592243,l.nguyen,22,tcp,158,host-4214
91.66.13.164,10.50.0.161,1,2026-08-08T00:31:56.209120,l.nguyen,22,tcp,243,host-5770
80.73.212.173,10.50.4.18,0,2026-08-08T08:21:00.496592,rpatel,80,tcp,3934,host-2700
91.66.13.164,10.50.3.214,1,2026-08-08T00:34:32.978107,l.nguyen,22,tcp,150,host-6097
3.189.45.249,10.50.4.30,0,2026-08-09T11:19:38.172336,rpatel,80,tcp,360,host-5255
